,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
899,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Introduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411078,"Feature engineering,Statistics,Bigquery,Keras",1.0 minutes
900,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Machine learning versus statistics,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411079,"Feature engineering,Statistics,Bigquery,Keras",3.0 minutes
901,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Basic feature engineering,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411080,"Feature engineering,Statistics,Bigquery,Keras",5.0 minutes
902,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Performing Basic Feature Engineering in BigQuery ML,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411081,"Feature engineering,Statistics,Bigquery,Keras",1.0 minutes
903,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Performing Basic Feature Engineering in BQML,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/labs/411082,"Feature engineering,Statistics,Bigquery,Keras",60.0 minutes
904,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Advanced feature engineering: Feature crosses,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411083,"Feature engineering,Statistics,Bigquery,Keras",5.0 minutes
905,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Bucketize and Transform Functions,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411084,"Feature engineering,Statistics,Bigquery,Keras",2.0 minutes
906,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Predict housing prices,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411085,"Feature engineering,Statistics,Bigquery,Keras",6.0 minutes
907,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Estimate taxi fare,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411086,"Feature engineering,Statistics,Bigquery,Keras",2.0 minutes
908,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Temporal and geolocation features,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411087,"Feature engineering,Statistics,Bigquery,Keras",5.0 minutes
909,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Basic Feature Engineering in Keras,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411088,"Feature engineering,Statistics,Bigquery,Keras",1.0 minutes
910,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Performing Basic Feature Engineering in Keras,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/labs/411089,"Feature engineering,Statistics,Bigquery,Keras",90.0 minutes
911,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Advanced Feature Engineering in Keras,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411090,"Feature engineering,Statistics,Bigquery,Keras",1.0 minutes
912,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Performing Advanced Feature Engineering in Keras,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/labs/411091,"Feature engineering,Statistics,Bigquery,Keras",90.0 minutes
913,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering:Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/quizzes/411092,"Feature engineering,Statistics,Bigquery,Keras",7.0 minutes
914,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Engineering: Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/documents/411093,"Feature engineering,Statistics,Bigquery,Keras",1.0 minutes
915,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Preprocessing and Feature Creation,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411094,"Feature engineering,Apache Beam,Dataflow",18.0 minutes
916,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Preprocessing and Feature Creation: Introduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411094,"Feature engineering,Apache Beam,Dataflow",1.0 minutes
917,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Preprocessing and Feature Creation: Apache Beam and Dataflow,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411095,"Feature engineering,Apache Beam,Dataflow",4.0 minutes
918,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Preprocessing and Feature Creation: Dataflow terms and concepts,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411096,"Feature engineering,Apache Beam,Dataflow",5.0 minutes
919,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Preprocessing and Feature Creation: Preprocessing and Feature Creation,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/quizzes/411097,"Feature engineering,Apache Beam,Dataflow",7.0 minutes
920,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Preprocessing and Feature Creation: Preprocessing and Feature Creation,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/documents/411098,"Feature engineering,Apache Beam,Dataflow",1.0 minutes
921,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Crosses - TensorFlow Playground,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411099,"Feature cross,Tensorflow,",16.0 minutes
922,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Crosses - TensorFlow Playground: Introduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411099,"Feature cross,Tensorflow,",1.0 minutes
923,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Crosses - TensorFlow Playground: What is a feature cross,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411100,"Feature cross,Tensorflow,",2.0 minutes
924,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Crosses - TensorFlow Playground: Discretization,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411101,"Feature cross,Tensorflow,",1.0 minutes
925,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Crosses - TensorFlow Playground: TensorFlow Playground: Use feature crosses to create a good classifier,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411102,"Feature cross,Tensorflow,",1.0 minutes
926,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Crosses - TensorFlow Playground: TensorFlow Playground: Too much of a good thing,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411103,"Feature cross,Tensorflow,",1.0 minutes
927,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Crosses - TensorFlow Playground: Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/quizzes/411104,"Feature cross,Tensorflow,",5.0 minutes
928,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Feature Crosses - TensorFlow Playground: Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/documents/411105,"Feature cross,Tensorflow,",5.0 minutes
929,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Introduction to TensorFlow Transform,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411106,"Tensorflow,Transform,Phase",24.0 minutes
930,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Introduction to TensorFlow Transform: Introduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411106,"Tensorflow,Transform,Phase",1.0 minutes
931,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Introduction to TensorFlow Transform: TensorFlow Transform,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411107,"Tensorflow,Transform,Phase",8.0 minutes
932,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Introduction to TensorFlow Transform: Analyze phase,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411108,"Tensorflow,Transform,Phase",3.0 minutes
933,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Introduction to TensorFlow Transform: Transform phase,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411109,"Tensorflow,Transform,Phase",4.0 minutes
934,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Introduction to TensorFlow Transform: Supporting serving,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/video/411110,"Tensorflow,Transform,Phase",2.0 minutes
935,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Introduction to TensorFlow Transform: Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/quizzes/411111,"Tensorflow,Transform,Phase",5.0 minutes
936,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Introduction to TensorFlow Transform:Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/documents/411112,"Tensorflow,Transform,Phase",1.0 minutes
937,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Summary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/documents/411113,"Tensorflow,Transform,Phase",30.0 minutes
938,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Summary: Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/documents/411114,"Tensorflow,Transform,Phase",20.0 minutes
939,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Summary: Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5301387/documents/411115,"Tensorflow,Transform,Phase",10.0 minutes
